overall_score_ratio,estimated_level,unanswered_ratio,a2_accuracy,b1_accuracy,b2_accuracy,meaning_accuracy,context_accuracy,collocation_accuracy,word_form_accuracy,weakest_type,strongest_type,recommendation_label
0.3417,A2,0.1491,0.4346,0.2965,0.2099,0.0981,0.4057,0.5009,0.3434,meaning,collocation,foundation_meaning
0.4239,A2,0.0337,0.5739,0.416,0.2612,0.2485,0.4272,0.4703,0.6142,meaning,word-form,foundation_meaning
0.2533,A2,0.1639,0.337,0.1885,0.0533,0.05,0.2954,0.406,0.3072,meaning,collocation,foundation_meaning
0.4112,A2,0.1097,0.5627,0.3331,0.2243,0.2052,0.5655,0.4713,0.4605,meaning,context,foundation_meaning
0.341,A2,0.0689,0.4413,0.3262,0.2009,0.1159,0.3956,0.5029,0.3784,meaning,collocation,foundation_meaning
0.2201,A1,0.0526,0.3227,0.1828,0.1285,0.05,0.297,0.2677,0.4063,meaning,word-form,foundation_meaning
0.2931,A2,0.1585,0.3793,0.2777,0.1357,0.0774,0.4038,0.298,0.3115,meaning,context,foundation_meaning
0.4168,A2,0.1032,0.4982,0.3678,0.2644,0.1274,0.4586,0.5612,0.4034,meaning,collocation,foundation_meaning
0.2341,A1,0.1147,0.3192,0.2186,0.0491,0.0766,0.26,0.3938,0.2669,meaning,collocation,foundation_meaning
0.2165,A1,0.0932,0.2713,0.1756,0.04,0.05,0.2443,0.1758,0.324,meaning,word-form,foundation_meaning
0.3958,A2,0.0331,0.529,0.3892,0.2987,0.1758,0.4377,0.5763,0.4188,meaning,collocation,foundation_meaning
0.2457,A1,0.0546,0.3333,0.219,0.0845,0.05,0.3522,0.2874,0.2392,meaning,context,foundation_meaning
0.2355,A1,0.1459,0.3247,0.2362,0.1198,0.0595,0.2683,0.3048,0.4243,meaning,word-form,foundation_meaning
0.3996,A2,0.1035,0.475,0.3828,0.2093,0.1942,0.4677,0.4447,0.571,meaning,word-form,foundation_meaning
0.2958,A2,0.0953,0.3784,0.2822,0.1452,0.0533,0.3543,0.4786,0.3149,meaning,collocation,foundation_meaning
0.3745,A2,0.0788,0.4917,0.3515,0.2083,0.1706,0.3792,0.5447,0.3826,meaning,collocation,foundation_meaning
0.3091,A2,0.1437,0.4613,0.2251,0.1785,0.1234,0.3205,0.4173,0.3566,meaning,collocation,foundation_meaning
0.3509,A2,0.1795,0.4898,0.3103,0.2187,0.1648,0.3882,0.3451,0.4928,meaning,word-form,foundation_meaning
0.3035,A2,0.1026,0.4377,0.3103,0.1426,0.151,0.3312,0.4437,0.3162,meaning,collocation,foundation_meaning
0.3472,A2,0.0738,0.5037,0.2955,0.1774,0.1796,0.4509,0.4361,0.5071,meaning,word-form,foundation_meaning
0.4335,A2,0.1533,0.5128,0.3495,0.3285,0.228,0.4634,0.5016,0.5796,meaning,word-form,foundation_meaning
0.2811,A2,0.1228,0.367,0.248,0.1238,0.05,0.399,0.2774,0.3433,meaning,context,foundation_meaning
0.386,A2,0.0617,0.5082,0.3712,0.282,0.2005,0.4115,0.5469,0.4662,meaning,collocation,foundation_meaning
0.3619,A2,0.0407,0.4182,0.2937,0.1832,0.1222,0.5025,0.3506,0.3758,meaning,context,foundation_meaning
0.2276,A1,0.0549,0.3601,0.2362,0.118,0.05,0.2779,0.3889,0.3087,meaning,collocation,foundation_meaning
0.2647,A2,0.1634,0.3434,0.2201,0.0999,0.0696,0.3283,0.28,0.3983,meaning,word-form,foundation_meaning
0.3568,A2,0.1434,0.5356,0.3529,0.2026,0.1566,0.3648,0.4519,0.5617,meaning,word-form,foundation_meaning
0.2781,A2,0.0541,0.4087,0.2526,0.1338,0.054,0.3096,0.3814,0.4893,meaning,word-form,foundation_meaning
0.2928,A2,0.1782,0.3776,0.2923,0.1257,0.0807,0.3598,0.4204,0.3203,meaning,collocation,foundation_meaning
0.3269,A2,0.1621,0.4193,0.2909,0.1672,0.1443,0.3396,0.386,0.4995,meaning,word-form,foundation_meaning
0.3049,A2,0.0476,0.375,0.3149,0.197,0.0896,0.4599,0.3096,0.3016,meaning,context,foundation_meaning
0.3998,A2,0.1419,0.5087,0.3275,0.2221,0.1951,0.4122,0.5508,0.4245,meaning,collocation,foundation_meaning
0.2449,A1,0.1034,0.2965,0.1481,0.0669,0.05,0.3839,0.2297,0.2816,meaning,context,foundation_meaning
0.2425,A1,0.0916,0.3697,0.1455,0.0499,0.05,0.2249,0.2679,0.3912,meaning,word-form,foundation_meaning
0.2677,A2,0.1605,0.3686,0.1728,0.1093,0.05,0.3202,0.4476,0.3055,meaning,collocation,foundation_meaning
0.419,A2,0.0896,0.4823,0.4029,0.2413,0.1603,0.4858,0.6024,0.4092,meaning,collocation,foundation_meaning
0.209,A1,0.1681,0.3397,0.1061,0.04,0.05,0.2584,0.3632,0.2042,meaning,collocation,foundation_meaning
0.4223,A2,0.0838,0.5392,0.3622,0.2817,0.2872,0.5271,0.5053,0.5726,meaning,word-form,foundation_meaning
0.2797,A2,0.0992,0.4126,0.2247,0.1819,0.1311,0.4703,0.3498,0.2876,meaning,context,foundation_meaning
0.2784,A2,0.1335,0.3956,0.2499,0.071,0.05,0.311,0.357,0.2499,meaning,collocation,foundation_meaning
0.3137,A2,0.0712,0.4572,0.2374,0.1957,0.0793,0.3164,0.4539,0.3016,meaning,collocation,foundation_meaning
0.3229,A2,0.0585,0.466,0.2615,0.2087,0.0785,0.4058,0.3995,0.5107,meaning,word-form,foundation_meaning
0.2128,A1,0.1664,0.379,0.1535,0.0767,0.05,0.2883,0.2339,0.3533,meaning,word-form,foundation_meaning
0.2696,A2,0.151,0.4045,0.1972,0.144,0.05,0.2547,0.4446,0.3386,meaning,collocation,foundation_meaning
0.394,A2,0.0435,0.5065,0.3288,0.2636,0.202,0.4059,0.5431,0.4345,meaning,collocation,foundation_meaning
0.253,A2,0.1626,0.4345,0.2013,0.1039,0.0603,0.306,0.4563,0.3277,meaning,collocation,foundation_meaning
0.3271,A2,0.0446,0.4012,0.3318,0.1576,0.1409,0.3135,0.3896,0.4699,meaning,word-form,foundation_meaning
0.4536,B1,0.1223,0.5511,0.417,0.2839,0.2036,0.5754,0.4934,0.4681,meaning,context,foundation_meaning
0.4299,A2,0.0897,0.5615,0.3974,0.3307,0.1803,0.45,0.5509,0.508,meaning,collocation,foundation_meaning
0.2405,A1,0.0608,0.2882,0.1665,0.122,0.05,0.4108,0.2123,0.2244,meaning,context,foundation_meaning
0.3827,A2,0.0676,0.4626,0.3982,0.2168,0.2346,0.4039,0.4693,0.5844,meaning,word-form,foundation_meaning
0.1851,A1,0.0395,0.3054,0.1415,0.061,0.05,0.212,0.2347,0.3301,meaning,word-form,foundation_meaning
0.3352,A2,0.0391,0.4422,0.2577,0.1413,0.1403,0.2864,0.4682,0.3701,meaning,collocation,foundation_meaning
0.2951,A2,0.1368,0.3789,0.2267,0.1665,0.05,0.2949,0.4399,0.3285,meaning,collocation,foundation_meaning
0.2692,A2,0.0977,0.4017,0.2635,0.1487,0.05,0.302,0.3172,0.4549,meaning,word-form,foundation_meaning
0.2155,A1,0.0428,0.3893,0.2127,0.0814,0.05,0.2539,0.3644,0.2452,meaning,collocation,foundation_meaning
0.3044,A2,0.1602,0.3631,0.2363,0.1575,0.0735,0.3521,0.3266,0.4273,meaning,word-form,foundation_meaning
0.3797,A2,0.1161,0.4427,0.3664,0.2087,0.1431,0.3871,0.4998,0.3732,meaning,collocation,foundation_meaning
0.418,A2,0.0763,0.539,0.3328,0.2141,0.2429,0.4579,0.4374,0.5803,meaning,word-form,foundation_meaning
0.3634,A2,0.0389,0.4147,0.3586,0.2232,0.5433,0.1763,0.4113,0.3525,context,meaning,context_clues_boost
0.3649,A2,0.073,0.4634,0.3232,0.2422,0.4136,0.2134,0.5054,0.3412,context,collocation,context_clues_boost
0.3114,A2,0.0562,0.3874,0.3224,0.2228,0.3343,0.1739,0.3512,0.4962,context,word-form,context_clues_boost
0.3317,A2,0.0625,0.4151,0.2848,0.1977,0.4322,0.1574,0.3138,0.3516,context,meaning,context_clues_boost
0.36,A2,0.059,0.496,0.3668,0.2165,0.3692,0.2089,0.4571,0.5309,context,word-form,context_clues_boost
0.5432,B1,0.0466,0.6025,0.4703,0.4295,0.5485,0.384,0.5386,0.6573,context,word-form,context_clues_boost
0.5107,B1,0.0437,0.6368,0.5364,0.3585,0.6731,0.357,0.5459,0.5855,context,meaning,context_clues_boost
0.4964,B1,0.0588,0.5629,0.483,0.3391,0.4424,0.2797,0.4976,0.6012,context,word-form,context_clues_boost
0.5519,B1,0.1198,0.6709,0.5512,0.4453,0.5752,0.4282,0.6846,0.5904,context,collocation,context_clues_boost
0.2777,A2,0.0771,0.3611,0.2971,0.1613,0.4478,0.0827,0.3024,0.3115,context,meaning,context_clues_boost
0.3229,A2,0.0932,0.3452,0.3121,0.2204,0.453,0.1645,0.365,0.3795,context,meaning,context_clues_boost
0.3566,A2,0.1222,0.4467,0.3695,0.2324,0.3925,0.1933,0.5005,0.359,context,collocation,context_clues_boost
0.62,B1,0.0571,0.6877,0.5571,0.4574,0.6452,0.4199,0.6162,0.7553,context,word-form,context_clues_boost
0.3795,A2,0.0416,0.4827,0.3604,0.2343,0.4394,0.1932,0.5202,0.4319,context,collocation,context_clues_boost
0.3367,A2,0.1252,0.4168,0.3367,0.1955,0.322,0.1298,0.4634,0.3324,context,collocation,context_clues_boost
0.449,A2,0.0733,0.5439,0.4412,0.3478,0.4778,0.2654,0.5233,0.5734,context,word-form,context_clues_boost
0.3506,A2,0.1123,0.4063,0.3547,0.2239,0.4053,0.1541,0.3508,0.5192,context,word-form,context_clues_boost
0.5076,B1,0.1215,0.6187,0.542,0.39,0.5473,0.3735,0.5763,0.6346,context,word-form,context_clues_boost
0.5762,B1,0.0698,0.6704,0.5611,0.4479,0.5278,0.3429,0.6467,0.5707,context,collocation,context_clues_boost
0.3731,A2,0.1196,0.4898,0.4039,0.2186,0.3884,0.1803,0.5519,0.3676,context,collocation,context_clues_boost
0.4969,B1,0.1131,0.5416,0.5207,0.3676,0.6039,0.3551,0.5282,0.5573,context,meaning,context_clues_boost
0.3255,A2,0.0372,0.4305,0.2724,0.2023,0.5032,0.1919,0.3902,0.3565,context,meaning,context_clues_boost
0.4071,A2,0.0224,0.5313,0.3903,0.2946,0.4112,0.2241,0.3947,0.5248,context,word-form,context_clues_boost
0.566,B1,0.0599,0.6602,0.5498,0.4441,0.6745,0.3539,0.5523,0.5286,context,meaning,context_clues_boost
0.2915,A2,0.0244,0.3233,0.2186,0.1567,0.2789,0.0566,0.3281,0.4034,context,word-form,context_clues_boost
0.3366,A2,0.0257,0.3622,0.3232,0.1672,0.4564,0.1233,0.3295,0.3384,context,meaning,context_clues_boost
0.5061,B1,0.0823,0.6103,0.4626,0.3427,0.4654,0.2714,0.6039,0.5273,context,collocation,context_clues_boost
0.5398,B1,0.04,0.5952,0.492,0.387,0.5448,0.3689,0.6019,0.6306,context,word-form,context_clues_boost
0.4065,A2,0.1161,0.5357,0.3484,0.2847,0.3852,0.249,0.5793,0.4807,context,collocation,context_clues_boost
0.4954,B1,0.1015,0.5576,0.4593,0.3577,0.6433,0.3456,0.5391,0.4645,context,meaning,context_clues_boost
0.5752,B1,0.1296,0.7087,0.5152,0.4112,0.597,0.4174,0.6949,0.5893,context,collocation,context_clues_boost
0.2954,A2,0.1397,0.3436,0.2374,0.1273,0.3404,0.0801,0.4061,0.3394,context,collocation,context_clues_boost
0.5238,B1,0.0469,0.6365,0.5356,0.363,0.5724,0.3716,0.6382,0.5346,context,collocation,context_clues_boost
0.584,B1,0.106,0.6379,0.6134,0.4115,0.7636,0.4176,0.601,0.6222,context,meaning,context_clues_boost
0.4459,A2,0.0968,0.5208,0.3872,0.3205,0.4697,0.2314,0.5487,0.49,context,collocation,context_clues_boost
0.3372,A2,0.1274,0.3841,0.3228,0.1665,0.425,0.1696,0.2974,0.3043,context,meaning,context_clues_boost
0.5234,B1,0.0949,0.6417,0.5368,0.4157,0.5372,0.3585,0.6451,0.5801,context,collocation,context_clues_boost
0.567,B1,0.0967,0.6544,0.5618,0.4534,0.6209,0.423,0.708,0.5395,context,collocation,context_clues_boost
0.4151,A2,0.0757,0.5047,0.4282,0.2551,0.4539,0.2247,0.4295,0.5518,context,word-form,context_clues_boost
0.3672,A2,0.0521,0.4427,0.3618,0.2176,0.4761,0.1576,0.4191,0.4317,context,meaning,context_clues_boost
0.3353,A2,0.0391,0.4556,0.3677,0.2264,0.5065,0.1273,0.4007,0.3561,context,meaning,context_clues_boost
0.5922,B1,0.1259,0.6501,0.5639,0.4137,0.6185,0.4182,0.766,0.6632,context,collocation,context_clues_boost
0.4678,B1,0.0635,0.5528,0.417,0.2976,0.481,0.3213,0.6017,0.4658,context,collocation,context_clues_boost
0.3532,A2,0.1327,0.4856,0.3275,0.2476,0.3786,0.1637,0.4576,0.427,context,collocation,context_clues_boost
0.4856,B1,0.1318,0.5986,0.4616,0.416,0.671,0.3196,0.4907,0.4906,context,meaning,context_clues_boost
0.3617,A2,0.1009,0.4692,0.3283,0.2599,0.4374,0.162,0.5009,0.3719,context,collocation,context_clues_boost
0.5809,B1,0.0262,0.6887,0.6204,0.461,0.5939,0.4054,0.6504,0.7044,context,word-form,context_clues_boost
0.404,A2,0.0382,0.5482,0.3643,0.2352,0.4563,0.2289,0.4775,0.5159,context,word-form,context_clues_boost
0.4996,B1,0.0652,0.5766,0.4809,0.4046,0.515,0.2966,0.6412,0.5496,context,collocation,context_clues_boost
0.5721,B1,0.087,0.6846,0.5763,0.4145,0.6465,0.3876,0.7267,0.6325,context,collocation,context_clues_boost
0.3454,A2,0.0852,0.4599,0.3386,0.1752,0.3836,0.1581,0.4713,0.3554,context,collocation,context_clues_boost
0.5589,B1,0.0442,0.6292,0.5388,0.4002,0.6164,0.4015,0.7117,0.5636,context,collocation,context_clues_boost
0.4372,A2,0.1061,0.5262,0.4369,0.2584,0.4827,0.2837,0.4747,0.5867,context,word-form,context_clues_boost
0.2844,A2,0.0975,0.3719,0.2441,0.2006,0.4545,0.0794,0.3571,0.3049,context,meaning,context_clues_boost
0.5563,B1,0.1203,0.6405,0.5825,0.4721,0.7324,0.4257,0.6126,0.6237,context,meaning,context_clues_boost
0.5632,B1,0.0852,0.5686,0.5562,0.3664,0.6633,0.3872,0.5905,0.5856,context,meaning,context_clues_boost
0.435,A2,0.0881,0.4837,0.3766,0.3116,0.5546,0.2749,0.4172,0.4092,context,meaning,context_clues_boost
0.5403,B1,0.0208,0.557,0.5456,0.3752,0.6395,0.3512,0.528,0.5302,context,meaning,context_clues_boost
0.3771,A2,0.0686,0.4897,0.3266,0.2122,0.4358,0.2495,0.5327,0.4327,context,collocation,context_clues_boost
0.4639,B1,0.0648,0.5566,0.4087,0.2864,0.4778,0.2615,0.4647,0.5385,context,word-form,context_clues_boost
0.4949,B1,0.1301,0.6074,0.4812,0.3615,0.5444,0.3042,0.6363,0.5448,context,collocation,context_clues_boost
0.3242,A2,0.0735,0.3962,0.2998,0.157,0.3584,0.0898,0.3218,0.4235,context,word-form,context_clues_boost
0.2811,A2,0.0254,0.3485,0.2906,0.1635,0.4268,0.0744,0.2547,0.2952,context,meaning,context_clues_boost
0.3879,A2,0.1357,0.4251,0.3207,0.2513,0.4901,0.1994,0.4366,0.4458,context,meaning,context_clues_boost
0.405,A2,0.0672,0.4306,0.4033,0.2092,0.4022,0.1702,0.5473,0.3653,context,collocation,context_clues_boost
0.2765,A2,0.0426,0.3712,0.2563,0.1594,0.4272,0.1058,0.3711,0.3196,context,meaning,context_clues_boost
0.5607,B1,0.1247,0.5943,0.547,0.4122,0.6668,0.3464,0.5891,0.6212,context,meaning,context_clues_boost
0.3367,A2,0.0918,0.4021,0.3548,0.2264,0.4735,0.1987,0.3349,0.3996,context,meaning,context_clues_boost
0.4674,B1,0.1015,0.5743,0.4778,0.3722,0.4824,0.3156,0.6007,0.5108,context,collocation,context_clues_boost
0.4464,A2,0.1219,0.4939,0.4166,0.3344,0.5723,0.2835,0.4861,0.4976,context,meaning,context_clues_boost
0.3222,A2,0.074,0.4311,0.3177,0.2053,0.3467,0.1889,0.338,0.4946,context,word-form,context_clues_boost
0.3903,A2,0.0775,0.435,0.3923,0.2686,0.4286,0.1979,0.383,0.5461,context,word-form,context_clues_boost
0.5702,B1,0.0676,0.6611,0.5771,0.4352,0.5559,0.3563,0.7054,0.5446,context,collocation,context_clues_boost
0.3401,A2,0.1208,0.4211,0.2812,0.2495,0.3889,0.1804,0.4724,0.3473,context,collocation,context_clues_boost
0.5547,B1,0.0476,0.6593,0.5729,0.4104,0.5722,0.4296,0.7051,0.615,context,collocation,context_clues_boost
0.4666,B1,0.0403,0.5479,0.4328,0.2806,0.621,0.248,0.4922,0.4495,context,meaning,context_clues_boost
0.4693,B1,0.0365,0.5423,0.5167,0.3198,0.4933,0.323,0.662,0.5706,context,collocation,context_clues_boost
0.4421,A2,0.0862,0.5661,0.4528,0.3332,0.6178,0.285,0.495,0.4818,context,meaning,context_clues_boost
0.2667,A2,0.0489,0.388,0.212,0.1658,0.3062,0.0682,0.2627,0.3885,context,word-form,context_clues_boost
0.4956,B1,0.0984,0.5997,0.4233,0.3491,0.5222,0.2982,0.6059,0.478,context,collocation,context_clues_boost
0.5529,B1,0.123,0.6318,0.5252,0.4402,0.6555,0.411,0.5771,0.5274,context,meaning,context_clues_boost
0.3011,A2,0.099,0.4148,0.2909,0.1305,0.3543,0.1071,0.3526,0.4041,context,word-form,context_clues_boost
0.3375,A2,0.1012,0.3809,0.3074,0.1877,0.2925,0.1153,0.4853,0.373,context,collocation,context_clues_boost
0.4364,A2,0.1123,0.4792,0.4175,0.3377,0.4894,0.2637,0.6117,0.4862,context,collocation,context_clues_boost
0.5872,B1,0.0656,0.67,0.5522,0.4132,0.6515,0.4086,0.6929,0.633,context,collocation,context_clues_boost
0.4851,B1,0.057,0.6265,0.4842,0.3432,0.5723,0.3256,0.6632,0.508,context,collocation,context_clues_boost
0.3879,A2,0.1236,0.4213,0.3678,0.2521,0.3626,0.2014,0.4806,0.4081,context,collocation,context_clues_boost
0.2403,A1,0.0792,0.3112,0.2323,0.0881,0.273,0.05,0.4,0.3247,context,collocation,context_clues_boost
0.2529,A2,0.0208,0.3611,0.2732,0.1373,0.2791,0.066,0.4292,0.2876,context,collocation,context_clues_boost
0.4005,A2,0.0775,0.484,0.3546,0.2649,0.4025,0.1887,0.4086,0.5366,context,word-form,context_clues_boost
0.3591,A2,0.072,0.428,0.412,0.2497,0.4473,0.4874,0.1986,0.3995,collocation,context,collocation_pattern_builder
0.5381,B1,0.0975,0.6111,0.5545,0.3583,0.5093,0.5681,0.3065,0.626,collocation,word-form,collocation_pattern_builder
0.5475,B1,0.1112,0.6579,0.5467,0.4189,0.644,0.543,0.3478,0.5903,collocation,meaning,collocation_pattern_builder
0.5308,B1,0.0774,0.5761,0.53,0.4517,0.5289,0.622,0.3717,0.7092,collocation,word-form,collocation_pattern_builder
0.5114,B1,0.0733,0.5474,0.5126,0.3934,0.5492,0.5215,0.3428,0.6022,collocation,word-form,collocation_pattern_builder
0.4814,B1,0.0903,0.5111,0.5136,0.3102,0.4879,0.5954,0.2518,0.4566,collocation,context,collocation_pattern_builder
0.4148,A2,0.1034,0.4803,0.4185,0.3495,0.454,0.5772,0.269,0.456,collocation,context,collocation_pattern_builder
0.554,B1,0.0305,0.5929,0.5365,0.4501,0.5903,0.6033,0.3606,0.6535,collocation,word-form,collocation_pattern_builder
0.5182,B1,0.0212,0.5741,0.5687,0.4544,0.5164,0.6828,0.3785,0.5727,collocation,context,collocation_pattern_builder
0.5897,B1,0.0487,0.6578,0.6053,0.4857,0.7741,0.6062,0.4424,0.6535,collocation,meaning,collocation_pattern_builder
0.4802,B1,0.0662,0.4975,0.4562,0.324,0.575,0.5163,0.338,0.5071,collocation,meaning,collocation_pattern_builder
0.432,A2,0.1026,0.4895,0.4289,0.3211,0.6173,0.4745,0.2495,0.4859,collocation,meaning,collocation_pattern_builder
0.5309,B1,0.0284,0.5815,0.5298,0.4316,0.5958,0.6663,0.3501,0.539,collocation,context,collocation_pattern_builder
0.4846,B1,0.0953,0.5988,0.5172,0.3536,0.6542,0.5097,0.3411,0.4991,collocation,meaning,collocation_pattern_builder
0.6246,B1,0.0135,0.6835,0.6153,0.4547,0.6241,0.7197,0.4502,0.6141,collocation,context,collocation_pattern_builder
0.3907,A2,0.0253,0.4544,0.4304,0.3026,0.5405,0.4788,0.2064,0.4031,collocation,meaning,collocation_pattern_builder
0.4005,A2,0.109,0.4295,0.3975,0.3155,0.5488,0.4173,0.2451,0.4199,collocation,meaning,collocation_pattern_builder
0.6212,B1,0.0938,0.6938,0.5721,0.4983,0.696,0.6457,0.3891,0.6664,collocation,meaning,collocation_pattern_builder
0.5663,B1,0.1065,0.6368,0.5402,0.4549,0.5341,0.6955,0.4131,0.5574,collocation,context,collocation_pattern_builder
0.4698,B1,0.034,0.551,0.4604,0.3109,0.4773,0.5967,0.2788,0.5179,collocation,context,collocation_pattern_builder
0.4522,B1,0.0789,0.5549,0.5055,0.3723,0.6157,0.4684,0.3243,0.4908,collocation,meaning,collocation_pattern_builder
0.5765,B1,0.1126,0.6833,0.5677,0.4995,0.7086,0.6602,0.3883,0.5745,collocation,meaning,collocation_pattern_builder
0.3918,A2,0.0205,0.4958,0.4387,0.2861,0.4192,0.3914,0.2785,0.547,collocation,word-form,collocation_pattern_builder
0.3605,A2,0.0521,0.5014,0.3848,0.2358,0.5398,0.3852,0.2,0.3635,collocation,meaning,collocation_pattern_builder
0.5679,B1,0.0771,0.6426,0.5862,0.4053,0.7197,0.5752,0.3653,0.5767,collocation,meaning,collocation_pattern_builder
0.3759,A2,0.0522,0.3945,0.3358,0.281,0.418,0.526,0.184,0.387,collocation,context,collocation_pattern_builder
0.6656,B1,0.1063,0.686,0.6916,0.4802,0.6966,0.788,0.4634,0.6423,collocation,context,collocation_pattern_builder
0.3921,A2,0.0681,0.4493,0.3511,0.2698,0.4108,0.4346,0.179,0.5467,collocation,word-form,collocation_pattern_builder
0.6398,B1,0.0174,0.7387,0.6979,0.5595,0.7158,0.7902,0.4895,0.6793,collocation,context,collocation_pattern_builder
0.4121,A2,0.0268,0.4615,0.3994,0.3032,0.5528,0.474,0.215,0.4078,collocation,meaning,collocation_pattern_builder
0.3599,A2,0.0903,0.4419,0.3665,0.185,0.4828,0.3387,0.1833,0.3721,collocation,meaning,collocation_pattern_builder
0.5867,B1,0.0112,0.6836,0.5754,0.4391,0.7444,0.6703,0.4728,0.639,collocation,meaning,collocation_pattern_builder
0.4663,B1,0.0988,0.5257,0.5274,0.3959,0.5111,0.6335,0.3474,0.4755,collocation,context,collocation_pattern_builder
0.4258,A2,0.1084,0.5084,0.3792,0.2582,0.5064,0.48,0.2365,0.4321,collocation,meaning,collocation_pattern_builder
0.5743,B1,0.0708,0.5975,0.5142,0.4723,0.6722,0.5701,0.3972,0.6055,collocation,meaning,collocation_pattern_builder
0.6038,B1,0.0346,0.6979,0.5927,0.5281,0.6663,0.6232,0.4719,0.7786,collocation,word-form,collocation_pattern_builder
0.4812,B1,0.0434,0.5607,0.4462,0.3454,0.6083,0.4723,0.2893,0.4936,collocation,meaning,collocation_pattern_builder
0.5063,B1,0.0696,0.6213,0.4968,0.455,0.5386,0.66,0.3358,0.5793,collocation,context,collocation_pattern_builder
0.5335,B1,0.0166,0.5566,0.5392,0.39,0.5939,0.6013,0.3298,0.6771,collocation,word-form,collocation_pattern_builder
0.659,B1,0.0801,0.7148,0.6838,0.547,0.6569,0.6334,0.4918,0.8117,collocation,word-form,collocation_pattern_builder
0.4513,B1,0.0399,0.5442,0.4742,0.3576,0.4809,0.4676,0.3006,0.5661,collocation,word-form,collocation_pattern_builder
